# b0,b1,b2,b3
3.416598638587280856e+00,3.635848017431670520e+00,3.580394586665857304e+00,3.576920351975442003e+00
4.031324741776102449e+00,3.129433119913004546e+00,3.384022843723451857e+00,3.764979507155505889e+00
4.147130511674817832e+00,2.904254493246458679e+00,3.600238821291796842e+00,3.733393037699149541e+00
4.263107194939449229e+00,2.800318879536731753e+00,3.652527724421615218e+00,3.248172591590639424e+00
4.446597988925955036e+00,2.781538596876438785e+00,4.505186382880302709e+00,2.984241027880701669e+00
3.824150051137183759e+00,3.520109216033823873e+00,3.902618875816728394e+00,3.160798784095416369e+00
4.438160840517973327e+00,3.626808131617786923e+00,5.121139519504492199e+00,2.069455171137282612e+00
3.307128903961193078e+00,4.257267164900270906e+00,4.541194902549937851e+00,2.449821031251128822e+00
4.273015349922038908e+00,3.328340989414060314e+00,4.843185147049891448e+00,2.298679234702612817e+00
5.062792052737494330e+00,3.344714934032826381e+00,5.672581801896115827e+00,1.708041457884478476e+00
5.031930535925095427e+00,3.575490234254995237e+00,6.180850413316770542e+00,1.560580051592640682e+00
4.428476900933752347e+00,4.967333294134472332e+00,6.631363454477593677e+00,7.058319396547214630e-01
4.350175666594033430e+00,4.376038416110934470e+00,6.214200273103755556e+00,1.050557860210265204e+00
3.854946779599434326e+00,4.855352945573685908e+00,5.797920505436864325e+00,1.322057844697327678e+00
2.830499818663404721e+00,5.780854950196363973e+00,6.175805339332408828e+00,2.097682947038697066e+00
2.594758906282025990e+00,5.579602739800004763e+00,5.652135744559928732e+00,2.120380780680503285e+00
3.306312959257432738e+00,5.354576114887916738e+00,6.142265264301319583e+00,1.445295625549215757e+00
3.872595062861705184e+00,4.195845877021153747e+00,5.500408260460727838e+00,1.577087813123132065e+00
4.333266326784703359e+00,3.235432394817711721e+00,5.136619063711082234e+00,2.037803600043327723e+00
3.813049284805714478e+00,4.145231352164300276e+00,5.272165034330201117e+00,1.516727177149651551e+00
5.261262985624593824e+00,2.743423580685760754e+00,5.331278754123416341e+00,2.396304972595904470e+00
