# b0,b1,b2,b3
3.592263105604160955e+00,3.594002101799813609e+00,3.693900395806768877e+00,3.465682524346142657e+00
4.214125539821914401e+00,2.893779116701712173e+00,2.875061293815109664e+00,4.537223024865892462e+00
4.312742565896835245e+00,2.955159090504537733e+00,3.547211505944754872e+00,3.418195025300774237e+00
4.292076169378277406e+00,2.870762959261179414e+00,3.900011466189798437e+00,3.331420161968400073e+00
4.797974992111986303e+00,2.450726561773572065e+00,4.213879885264216973e+00,3.129631673765277622e+00
5.282199864390375588e+00,2.026940824945925979e+00,3.967954499477891694e+00,3.926367420341823511e+00
4.656501703090929034e+00,2.459267882753040979e+00,3.838983607967136447e+00,3.529923012735462606e+00
4.266300930091509791e+00,2.889259521419212717e+00,3.112946035507757614e+00,3.952220851135084700e+00
3.643878511412376398e+00,3.665824229410589385e+00,3.874608903459364040e+00,3.188897041257016340e+00
3.170686563072607100e+00,3.945804833482976726e+00,3.296762228273452333e+00,3.971985756846413196e+00
3.020850436311342868e+00,4.163156347294301618e+00,2.556906026791089026e+00,4.680468793300359032e+00
3.676163033346408593e+00,3.981872083301577270e+00,2.213636434276295084e+00,5.007105204901982631e+00
3.722240119176584816e+00,3.611678551733115583e+00,2.400196311046778774e+00,4.614278151715423881e+00
3.556507723809711585e+00,3.882112150664719152e+00,2.441292553557695477e+00,4.684464784900745471e+00
3.150045643179302690e+00,4.004472680251280003e+00,2.975553738010287219e+00,4.399048505084864225e+00
3.232059772194849856e+00,3.910411963398872981e+00,2.719051801486245701e+00,4.231913779161889266e+00
3.296205217073274074e+00,3.622610806021384633e+00,3.640954298118255661e+00,3.366957897821631462e+00
4.246764528177617848e+00,3.407914564632429144e+00,5.149735803917726784e+00,2.047393640486317334e+00
5.459940777391310007e+00,3.041881948685136727e+00,6.184501858913225902e+00,1.938750144767257932e+00
4.496585421660017623e+00,2.950446074838074306e+00,4.949015437996639122e+00,2.181557081547548016e+00
4.873427795752602876e+00,2.484195572382558836e+00,4.968225840194289589e+00,2.734609596768233342e+00
4.246327434283674762e+00,2.934200166627126904e+00,4.408238407396355640e+00,3.060845877180967900e+00
3.811491139189303823e+00,3.671148252040811855e+00,4.995971298409207506e+00,2.237647095328805680e+00
4.513740768311055085e+00,3.003876945906923446e+00,4.837783595797576552e+00,2.827185572043092954e+00
3.743662318202801487e+00,3.469319769361991934e+00,2.893037344421080626e+00,4.087691331154336360e+00
4.184069782710690966e+00,2.891861388832008384e+00,3.251912008206728988e+00,3.969059748431593704e+00
3.930054870309110715e+00,3.185229278931532626e+00,3.141440955132725144e+00,3.855820277439327537e+00
3.556693024591120800e+00,3.712421978104647913e+00,3.228351898100429107e+00,4.028295512538245582e+00
3.729319419411616821e+00,3.849884153611948800e+00,2.098923513219407955e+00,4.796149768595629581e+00
3.559153924934982172e+00,3.496043736587299833e+00,2.498618261457673295e+00,4.405849250657440486e+00
3.146501709037360150e+00,4.783770958394256922e+00,1.911101917686008234e+00,5.317801212422674340e+00
3.573202179823763647e+00,4.827571207074421444e+00,1.678620759519146022e+00,5.589628050963018957e+00
3.002093136722368438e+00,5.520898094277890245e+00,2.107260272229233511e+00,6.047937215487388940e+00
2.173547947783040613e+00,5.794938848312762403e+00,2.800974298740674939e+00,5.544977174233888029e+00
2.202752790921244319e+00,6.320536633676874239e+00,3.136338304691515866e+00,6.269977401731222422e+00
2.212458975420053875e+00,6.063313500937418610e+00,2.565751270319051258e+00,5.725357979748057602e+00
2.994632128039806052e+00,5.520118553381585969e+00,1.827246290570595511e+00,5.988494827572084844e+00
2.855242487998669088e+00,5.253763972061242349e+00,2.175595773256203902e+00,5.350380432618285553e+00
3.038499916020132474e+00,4.081039409014765695e+00,3.360426323245859326e+00,3.839048084033141350e+00
1.572431681820311011e+00,5.418816013846919688e+00,3.369145034054223053e+00,4.586961832263408922e+00
2.026446588699521989e+00,5.335586220286902659e+00,2.987631531131736295e+00,4.652642648444136775e+00
2.240910179286529580e+00,5.038423484081693715e+00,3.456064241897446987e+00,4.186282158786904795e+00
3.230058374201415727e+00,4.483728711358654806e+00,1.846961684215431720e+00,5.128182497387865801e+00
4.667278768903652342e+00,3.782865258082181104e+00,1.575098020971568147e+00,5.758456337320112972e+00
4.701285091129223659e+00,3.920813957376222181e+00,1.020897284097159075e+00,6.158592047361596933e+00
4.493363147393023560e+00,4.437446713056254488e+00,9.572246889911629752e-01,6.171318858815793007e+00
4.553395079458994132e+00,4.745641675921143054e+00,3.901576832743914869e-01,6.589358146697446017e+00
5.165155526558152133e+00,3.896210942866810800e+00,1.250150349532761940e+00,6.230115591287823662e+00
4.831890827558861901e+00,3.365165720260509641e+00,1.708164363902040517e+00,5.626505585178279922e+00
4.472660295760322313e+00,3.524318149742577511e+00,1.548584719388184539e+00,5.271036597116098399e+00
4.993159268075346269e+00,2.718902994098344461e+00,2.261794511810461650e+00,5.098023501296065518e+00
4.598020795951427431e+00,3.385536541645202124e+00,1.931284278248983410e+00,5.252197798565426901e+00
4.457164788482607776e+00,3.736901840973663180e+00,1.485756841347725121e+00,5.519972754705794848e+00
4.263721000836356190e+00,4.255856062229741887e+00,1.190192039023579840e+00,5.740340653005093330e+00
3.691113230737523399e+00,4.330633850716774980e+00,2.041557437702144817e+00,5.242702890967255946e+00
3.049284755978929784e+00,4.916189188583354408e+00,1.815203330171506479e+00,5.433563239016063307e+00
3.692005674877652410e+00,4.088432146043271764e+00,2.150372069902770633e+00,5.054830842637218602e+00
3.431670522863937922e+00,3.866811794525990553e+00,3.094893230032282894e+00,4.051138807327997249e+00
2.944095477802186611e+00,4.210081922399152354e+00,2.901785230862017784e+00,4.365054595384338931e+00
3.903251337911596952e+00,3.115241938864510729e+00,3.206047867855596145e+00,3.715273806506574683e+00
3.310550541093854715e+00,4.087007304682637177e+00,2.714870324901296872e+00,4.401157459460593557e+00
4.376309684965326241e+00,3.162224978630089112e+00,2.206194245573884327e+00,4.966176181368340714e+00
5.232449155853157841e+00,3.334813987854385431e+00,1.639247330383608370e+00,6.086070008587920022e+00
5.713404056848004231e+00,3.212446873594100083e+00,1.705816169874176058e+00,6.357888835125373284e+00
5.480860358591291615e+00,3.380196984727473986e+00,1.779096652548236346e+00,6.135814475999760376e+00
4.833896766607959528e+00,4.007624606037448522e+00,8.022676909767662012e-01,6.312645552933298099e+00
4.752661568183765617e+00,4.304363632281957841e+00,8.440440013573849987e-01,6.273913421014543523e+00
5.470390399317838437e+00,4.415348185994109720e+00,9.206259025245870919e-01,6.957288473915533622e+00
4.739108315577956532e+00,5.895236562487341736e+00,9.607087791837629620e-01,7.419273983589421917e+00
5.088439412315158172e+00,5.775984791382353656e+00,8.447450306728988556e-01,7.533473435622100034e+00
5.085136385350678800e+00,6.255420143391963173e+00,1.361205695306350050e+00,8.002065755766569310e+00
5.731893856127751263e+00,6.995915647190454223e+00,2.097204644866901724e+00,8.887864166247213760e+00
6.705451118189726500e+00,6.549851167519922690e+00,1.964812942899856640e+00,9.123388347407331622e+00
6.802113390453123465e+00,6.739527176971836120e+00,2.106571719464482850e+00,9.162588810992147614e+00
6.122360731180194193e+00,5.831506301678057724e+00,1.205521748968306106e+00,8.303742747708509953e+00
5.129451455263843940e+00,5.154764308638328352e+00,4.529696954887058036e-01,7.408510554083025390e+00
5.660355249561812130e+00,6.038066705148271929e+00,1.027493919614928863e+00,7.980134494333851691e+00
5.013198480477817576e+00,5.223019405160221673e+00,7.805554929094021821e-02,7.140695817726658845e+00
4.672525267085923417e+00,5.277234796868755851e+00,3.271971444213140900e-01,6.973937622248890023e+00
5.670278362027764807e+00,5.171845520959890585e+00,5.306049729684167993e-01,7.739404466093652957e+00
4.848352280539805825e+00,4.883797029223741148e+00,9.353290212181324115e-02,6.829125811449217487e+00
6.076791840883719154e+00,6.102113925182859333e+00,1.410528530921799861e+00,8.545838152430757617e+00
6.927559034927872617e+00,7.250909490369078725e+00,2.719817465357196262e+00,9.695885728096232725e+00
7.183347796738250857e+00,7.122388596796636939e+00,2.535069910416883232e+00,9.619744850558877403e+00
7.606045479900494399e+00,6.109685638696333854e+00,2.535260662990384883e+00,9.384381928152981445e+00
7.119785468758031755e+00,5.592269979146159642e+00,2.234955155622917022e+00,8.880044894948296630e+00
7.082756661980861068e+00,6.181625462296225670e+00,2.303248314124913598e+00,8.997343093125568458e+00
6.828817464611017130e+00,5.389910576176517587e+00,1.591180163270030423e+00,8.481524226764030061e+00
6.498359163159349805e+00,4.849169452746094677e+00,1.729020079746198091e+00,8.204639537483819467e+00
6.762628979650347816e+00,5.410339520203915953e+00,1.831674592604143115e+00,8.431582188900415886e+00
6.783376137765783298e+00,5.449550561539685312e+00,1.635594976560892144e+00,8.457652535792108850e+00
5.904773532951718806e+00,5.446679777735702110e+00,9.605367265823747669e-01,8.221940438817433972e+00
6.226771262323224754e+00,5.433882992472907958e+00,1.328262308833516814e+00,8.190029136984486868e+00
5.645403142728306456e+00,4.574178396191489249e+00,6.815587508067546541e-01,7.216188576518374198e+00
5.691743557962635869e+00,4.178735436654161362e+00,7.802146191412580034e-01,7.047345138443322554e+00
6.150631628337456469e+00,3.661702463653976558e+00,1.568321832242731473e+00,7.001044625685826084e+00
5.971001691406259582e+00,3.622803760740500145e+00,1.553086948533158873e+00,6.807893462075332636e+00
5.673592104389120649e+00,4.326747868555264276e+00,8.993651367991952750e-01,6.922656200227867096e+00
5.333724760520643926e+00,3.545175997940145152e+00,1.335663511299359119e+00,6.134122167222193056e+00
4.853581617170932283e+00,3.919476898346515803e+00,1.220382838982238649e+00,6.031303909759932580e+00
