# b0,b1,b2,b3
3.488467236048849784e+00,3.630008105070402280e+00,3.609537135054393886e+00,3.458855544328231613e+00
4.363861821729218882e+00,2.993839133853096079e+00,3.016683722102778020e+00,4.369160019899254621e+00
3.908748028932947260e+00,3.571010409860235768e+00,2.726540778128020204e+00,4.320899858194233722e+00
4.063951216474873895e+00,3.208758206314249684e+00,2.491866180234568073e+00,4.652022222928195561e+00
3.099150985849177253e+00,3.863619461862895399e+00,2.566010314917236634e+00,4.505630099219040119e+00
4.936238086605451159e+00,3.427024136409441812e+00,1.736617751298953793e+00,5.609345429228673297e+00
5.617610843155552480e+00,2.301391792267075243e+00,2.679139343682571450e+00,5.478186041465040290e+00
5.383761758149403498e+00,1.913672321734372295e+00,3.783258173351166764e+00,4.137908251802611126e+00
6.225374172038663723e+00,8.090664977940958957e-01,4.160917403563293426e+00,4.507508374521689731e+00
6.967404330494108677e+00,5.007283954464730735e-02,4.778092914106097489e+00,5.136357281745382863e+00
7.438150074999009931e+00,7.899163985053242465e-01,5.648180493960801130e+00,4.695246777024316032e+00
7.497294287891626219e+00,6.203900452566448731e-01,5.612550000234610259e+00,4.877328519924138739e+00
6.796268032053750296e+00,6.902125557412766010e-01,4.582113678129594803e+00,5.141920322648724451e+00
7.727378684290257205e+00,8.572310954678136197e-01,4.965433523765772961e+00,5.678491467293418360e+00
8.003344684719948532e+00,1.128060372830518965e+00,5.741237130874390360e+00,5.589279042206295678e+00
7.631730866310717509e+00,4.456492052939187154e-01,5.638238656852519348e+00,5.464681182873402321e+00
8.100508138950413439e+00,1.148287721393292493e+00,5.989836449798938034e+00,5.850653164578845988e+00
8.950943901805272773e+00,1.829758191674875079e+00,6.903717539946276460e+00,6.171982145839260525e+00
1.057366088925576797e+01,3.909790381769446377e+00,8.799929982172077558e+00,7.051617079040489067e+00
1.162853426127296430e+01,4.575735772581004390e+00,9.592692142144397138e+00,7.825720597472964890e+00
1.163350245301581865e+01,4.902021440885298453e+00,9.915803873987284689e+00,7.615420923850138912e+00
1.171876309547648987e+01,5.125188114491089131e+00,9.930989111285482451e+00,7.905644601116649461e+00
1.130688529367709982e+01,4.894890786998798760e+00,9.944994481009434395e+00,7.305635544384953661e+00
1.123263393749656913e+01,4.495379031053928109e+00,9.345196784922027433e+00,7.664195666324447487e+00
1.209487303309709993e+01,5.146996641509404391e+00,9.984893893168615975e+00,8.620921325752600950e+00
1.333218653422771638e+01,6.443188349860687225e+00,1.109792706543377427e+01,1.014133611330447948e+01
1.240655847664229938e+01,5.483310665074692558e+00,1.024412310136098370e+01,8.724991242476633602e+00
1.267227554279225288e+01,5.884688258121310689e+00,1.063755324577127759e+01,9.200070004824119962e+00
1.329561742942290614e+01,6.344760310367228762e+00,1.056290162800340759e+01,9.969565071244165466e+00
1.485200861262624628e+01,7.961811775032521687e+00,1.236434076830133044e+01,1.104854404198782269e+01
1.486890606925337011e+01,7.720740894765312667e+00,1.225488171465812925e+01,1.135185571955588379e+01
1.452755675630556631e+01,7.545378659294592616e+00,1.220209656397039488e+01,1.092236333777776025e+01
1.526600272265344493e+01,8.082243521557199273e+00,1.252025002246261209e+01,1.160740570931809401e+01
